date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
13/2/2003,2003-2004 Clausura,,1,Racing,Colón (Santa Fe),1,1,False,,
14/2/2003,2003-2004 Clausura,,1,Vélez Sarsfield,Rosario Central,3,0,False,,
14/2/2003,2003-2004 Clausura,,1,Newell's Old Boys,Banfield,1,1,False,,
14/2/2003,2003-2004 Clausura,,1,Chacarita Juniors,San Lorenzo de Almagro,0,2,False,,
15/2/2003,2003-2004 Clausura,,1,Talleres (Córdoba),Arsenal,4,3,False,,
15/2/2003,2003-2004 Clausura,,1,Estudiantes (La Plata),Independiente,1,4,False,,
15/2/2003,2003-2004 Clausura,,1,Atlético Rafaela,Quilmes,0,0,False,,
15/2/2003,2003-2004 Clausura,,1,Nueva Chicago,River Plate,2,2,False,,
15/2/2003,2003-2004 Clausura,,1,Lanús,Olimpo (Bahía Blanca),3,0,False,,
15/2/2003,2003-2004 Clausura,,1,Boca Juniors,Gimnasia y Esgrima (LP),0,0,False,,
20/2/2003,2003-2004 Clausura,,2,Banfield,Vélez Sarsfield,1,2,False,,
21/2/2003,2003-2004 Clausura,,2,Quilmes,Nueva Chicago,1,1,False,,
21/2/2003,2003-2004 Clausura,,2,Gimnasia y Esgrima (LP),Chacarita Juniors,6,1,False,,
21/2/2003,2003-2004 Clausura,,2,Independiente,Newell's Old Boys,1,1,False,,
12/2/2003,2003-2004 Clausura,,2,San Lorenzo de Almagro,Racing,0,4,False,,
12/2/2003,2003-2004 Clausura,,2,Colón (Santa Fe),Lanús,3,2,False,,
12/2/2003,2003-2004 Clausura,,2,Arsenal,Atlético Rafaela,3,2,False,,
12/2/2003,2003-2004 Clausura,,2,River Plate,Estudiantes (La Plata),3,0,False,,
12/2/2003,2003-2004 Clausura,,2,Olimpo (Bahía Blanca),Talleres (Córdoba),1,4,False,,
12/2/2003,2003-2004 Clausura,,2,Rosario Central,Boca Juniors,1,2,False,,
27/2/2003,2003-2004 Clausura,,3,Independiente,Banfield,0,1,False,,
28/2/2003,2003-2004 Clausura,,3,Lanús,San Lorenzo de Almagro,0,4,False,,
28/2/2003,2003-2004 Clausura,,3,Atlético Rafaela,Olimpo (Bahía Blanca),0,2,False,,
28/2/2003,2003-2004 Clausura,,3,Racing,Gimnasia y Esgrima (LP),1,0,False,,
12/2/2003,2003-2004 Clausura,,3,Newell's Old Boys,River Plate,2,3,False,,
12/2/2003,2003-2004 Clausura,,3,Chacarita Juniors,Rosario Central,1,1,False,,
12/2/2003,2003-2004 Clausura,,3,Estudiantes (La Plata),Quilmes,1,0,False,,
12/2/2003,2003-2004 Clausura,,3,Nueva Chicago,Arsenal,2,1,False,,
12/2/2003,2003-2004 Clausura,,3,Boca Juniors,Vélez Sarsfield,3,3,False,,
12/2/2003,2003-2004 Clausura,,3,Talleres (Córdoba),Colón (Santa Fe),4,0,False,,
5/3/2004,2003-2004 Clausura,,4,Vélez Sarsfield,Chacarita Juniors,2,2,False,,
