date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
4/8/2006,2006-2007 Apertura,,1,Racing,Nueva Chicago,2,0,False,,
5/8/2006,2006-2007 Apertura,,1,Arsenal,Gimnasia y Esgrima (LP),3,1,False,,
5/8/2006,2006-2007 Apertura,,1,Colón (Santa Fe),Independiente,1,4,False,,
6/8/2006,2006-2007 Apertura,,1,Gimnasia y Esgrima (Jujuy),San Lorenzo de Almagro,0,1,False,,
6/8/2006,2006-2007 Apertura,,1,Newell's Old Boys,Vélez Sarsfield,3,0,False,,
6/8/2006,2006-2007 Apertura,,1,Argentinos Juniors,Godoy Cruz Antonio Tomba,1,0,False,,
6/8/2006,2006-2007 Apertura,,1,Quilmes,Estudiantes (La Plata),0,1,False,,
6/8/2006,2006-2007 Apertura,,1,Boca Juniors,Banfield,3,0,False,,
6/8/2006,2006-2007 Apertura,,1,Lanús,River Plate,0,2,False,,
6/8/2006,2006-2007 Apertura,,1,Belgrano (Córdoba),Rosario Central,1,0,False,,
11/8/2006,2006-2007 Apertura,,2,Nueva Chicago,Argentinos Juniors,3,2,False,,
12/8/2006,2006-2007 Apertura,,2,San Lorenzo de Almagro,Colón (Santa Fe),5,0,False,,
12/8/2006,2006-2007 Apertura,,2,Rosario Central,Boca Juniors,1,2,False,,
12/8/2006,2006-2007 Apertura,,2,Independiente,Belgrano (Córdoba),3,1,False,,
13/8/2006,2006-2007 Apertura,,2,Gimnasia y Esgrima (LP),Quilmes,3,2,False,,
13/8/2006,2006-2007 Apertura,,2,Estudiantes (La Plata),Gimnasia y Esgrima (Jujuy),1,0,False,,
13/8/2006,2006-2007 Apertura,,2,River Plate,Newell's Old Boys,3,3,False,,
13/8/2006,2006-2007 Apertura,,2,Vélez Sarsfield,Racing,0,0,False,,
13/8/2006,2006-2007 Apertura,,2,Banfield,Lanús,1,1,False,,
25/10/2006,2006-2007 Apertura,,2,Godoy Cruz Antonio Tomba,Arsenal,2,1,False,,
18/8/2006,2006-2007 Apertura,,3,Banfield,Rosario Central,1,1,False,,
18/8/2006,2006-2007 Apertura,,3,Belgrano (Córdoba),San Lorenzo de Almagro,2,2,False,,
19/8/2006,2006-2007 Apertura,,3,Boca Juniors,Independiente,1,0,False,,
19/8/2006,2006-2007 Apertura,,3,Arsenal,Nueva Chicago,2,0,False,,
20/8/2006,2006-2007 Apertura,,3,Argentinos Juniors,Vélez Sarsfield,0,1,False,,
20/8/2006,2006-2007 Apertura,,3,Quilmes,Godoy Cruz Antonio Tomba,0,0,False,,
20/8/2006,2006-2007 Apertura,,3,Colón (Santa Fe),Estudiantes (La Plata),0,2,False,,
20/8/2006,2006-2007 Apertura,,3,Gimnasia y Esgrima (Jujuy),Gimnasia y Esgrima (LP),3,1,False,,
20/8/2006,2006-2007 Apertura,,3,Newell's Old Boys,Lanús,0,1,False,,
20/8/2006,2006-2007 Apertura,,3,Racing,River Plate,3,1,False,,
25/8/2006,2006-2007 Apertura,,4,Lanús,Rosario Central,1,2,False,,
25/8/2006,2006-2007 Apertura,,4,Vélez Sarsfield,Arsenal,0,0,False,,
26/8/2006,2006-2007 Apertura,,4,Godoy Cruz Antonio Tomba,Gimnasia y Esgrima (Jujuy),0,0,False,,
26/8/2006,2006-2007 Apertura,,4,Nueva Chicago,Quilmes,2,1,False,,
26/8/2006,2006-2007 Apertura,,4,Newell's Old Boys,Racing,0,0,False,,
27/8/2006,2006-2007 Apertura,,4,Independiente,Banfield,2,1,False,,
27/8/2006,2006-2007 Apertura,,4,Estudiantes (La Plata),Belgrano (Córdoba),1,2,False,,
27/8/2006,2006-2007 Apertura,,4,San Lorenzo de Almagro,Boca Juniors,1,7,False,,
27/8/2006,2006-2007 Apertura,,4,Gimnasia y Esgrima (LP),Colón (Santa Fe),3,2,False,,
27/8/2006,2006-2007 Apertura,,4,River Plate,Argentinos Juniors,2,0,False,,
1/9/2006,2006-2007 Apertura,,5,Argentinos Juniors,Newell's Old Boys,0,0,False,,
2/9/2006,2006-2007 Apertura,,5,Rosario Central,Independiente,2,2,False,,
2/9/2006,2006-2007 Apertura,,5,Banfield,San Lorenzo de Almagro,1,2,False,,
