date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
3/8/2012,2012-2013 Inicial,,1,Arsenal,Unión (Santa Fe),1,0,False,,
3/8/2012,2012-2013 Inicial,,1,Vélez Sarsfield,Argentinos Juniors,3,0,False,,
4/8/2012,2012-2013 Inicial,,1,Colón (Santa Fe),Lanús,1,0,False,,
4/8/2012,2012-2013 Inicial,,1,Newell's Old Boys,Independiente,0,0,False,,
4/8/2012,2012-2013 Inicial,,1,Quilmes,Boca Juniors,3,0,False,,
4/8/2012,2012-2013 Inicial,,1,Racing,Atlético Rafaela,1,1,False,,
5/8/2012,2012-2013 Inicial,,1,Godoy Cruz Antonio Tomba,All Boys,1,1,False,,
5/8/2012,2012-2013 Inicial,,1,River Plate,Belgrano (Córdoba),1,2,False,,
5/8/2012,2012-2013 Inicial,,1,San Lorenzo de Almagro,San Martín (San Juan),2,1,False,,
6/8/2012,2012-2013 Inicial,,1,Tigre,Estudiantes (La Plata),1,2,False,,
10/8/2012,2012-2013 Inicial,,2,Lanús,Newell's Old Boys,0,1,False,,
10/8/2012,2012-2013 Inicial,,2,San Martín (San Juan),Colón (Santa Fe),0,1,False,,
11/8/2012,2012-2013 Inicial,,2,All Boys,Quilmes,1,1,False,,
11/8/2012,2012-2013 Inicial,,2,Belgrano (Córdoba),San Lorenzo de Almagro,0,0,False,,
11/8/2012,2012-2013 Inicial,,2,Estudiantes (La Plata),River Plate,0,2,False,,
12/8/2012,2012-2013 Inicial,,2,Argentinos Juniors,Racing,0,2,False,,
12/8/2012,2012-2013 Inicial,,2,Boca Juniors,Tigre,2,0,False,,
12/8/2012,2012-2013 Inicial,,2,Unión (Santa Fe),Godoy Cruz Antonio Tomba,0,1,False,,
13/8/2012,2012-2013 Inicial,,2,Atlético Rafaela,Arsenal,0,0,False,,
13/8/2012,2012-2013 Inicial,,2,Independiente,Vélez Sarsfield,0,0,False,,
18/8/2012,2012-2013 Inicial,,3,Boca Juniors,All Boys,3,1,False,,
18/8/2012,2012-2013 Inicial,,3,Colón (Santa Fe),Belgrano (Córdoba),2,2,False,,
18/8/2012,2012-2013 Inicial,,3,San Lorenzo de Almagro,Estudiantes (La Plata),0,1,False,,
19/8/2012,2012-2013 Inicial,,3,Godoy Cruz Antonio Tomba,Atlético Rafaela,2,0,False,,
19/8/2012,2012-2013 Inicial,,3,Racing,Independiente,2,0,False,,
19/8/2012,2012-2013 Inicial,,3,Tigre,River Plate,2,3,False,,
19/8/2012,2012-2013 Inicial,,3,Vélez Sarsfield,Lanús,0,2,False,,
20/8/2012,2012-2013 Inicial,,3,Arsenal,Argentinos Juniors,2,2,False,,
20/8/2012,2012-2013 Inicial,,3,Newell's Old Boys,San Martín (San Juan),2,0,False,,
20/8/2012,2012-2013 Inicial,,3,Quilmes,Unión (Santa Fe),2,1,False,,
25/8/2012,2012-2013 Inicial,,4,All Boys,Tigre,2,2,False,,
25/8/2012,2012-2013 Inicial,,4,Argentinos Juniors,Godoy Cruz Antonio Tomba,2,1,False,,
25/8/2012,2012-2013 Inicial,,4,Independiente,Arsenal,0,2,False,,
25/8/2012,2012-2013 Inicial,,4,Unión (Santa Fe),Boca Juniors,1,2,False,,
26/8/2012,2012-2013 Inicial,,4,Atlético Rafaela,Quilmes,1,1,False,,
26/8/2012,2012-2013 Inicial,,4,Belgrano (Córdoba),Newell's Old Boys,0,0,False,,
26/8/2012,2012-2013 Inicial,,4,Lanús,Racing,1,1,False,,
26/8/2012,2012-2013 Inicial,,4,River Plate,San Lorenzo de Almagro,0,0,False,,
26/8/2012,2012-2013 Inicial,,4,San Martín (San Juan),Vélez Sarsfield,0,3,False,,
27/8/2012,2012-2013 Inicial,,4,Estudiantes (La Plata),Colón (Santa Fe),1,2,False,,
31/8/2012,2012-2013 Inicial,,5,All Boys,Unión (Santa Fe),3,1,False,,
1/9/2012,2012-2013 Inicial,,5,Arsenal,Lanús,1,0,False,,
1/9/2012,2012-2013 Inicial,,5,Newell's Old Boys,Estudiantes (La Plata),1,0,False,,
1/9/2012,2012-2013 Inicial,,5,Vélez Sarsfield,Belgrano (Córdoba),2,1,False,,
2/9/2012,2012-2013 Inicial,,5,Boca Juniors,Atlético Rafaela,2,1,False,,
2/9/2012,2012-2013 Inicial,,5,Colón (Santa Fe),River Plate,1,1,False,,
2/9/2012,2012-2013 Inicial,,5,Godoy Cruz Antonio Tomba,Independiente,2,1,False,,
2/9/2012,2012-2013 Inicial,,5,Tigre,San Lorenzo de Almagro,1,1,False,,
3/9/2012,2012-2013 Inicial,,5,Quilmes,Argentinos Juniors,0,1,False,,
3/9/2012,2012-2013 Inicial,,5,Racing,San Martín (San Juan),3,1,False,,
8/9/2012,2012-2013 Inicial,,6,Atlético Rafaela,All Boys,2,1,False,,
8/9/2012,2012-2013 Inicial,,6,Estudiantes (La Plata),Vélez Sarsfield,0,0,False,,
8/9/2012,2012-2013 Inicial,,6,San Lorenzo de Almagro,Colón (Santa Fe),2,1,False,,
8/9/2012,2012-2013 Inicial,,6,San Martín (San Juan),Arsenal,4,0,False,,
9/9/2012,2012-2013 Inicial,,6,Argentinos Juniors,Boca Juniors,1,1,False,,
9/9/2012,2012-2013 Inicial,,6,Belgrano (Córdoba),Racing,1,0,False,,
9/9/2012,2012-2013 Inicial,,6,Independiente,Quilmes,1,1,False,,
9/9/2012,2012-2013 Inicial,,6,River Plate,Newell's Old Boys,3,3,False,,
10/9/2012,2012-2013 Inicial,,6,Lanús,Godoy Cruz Antonio Tomba,2,0,False,,
10/9/2012,2012-2013 Inicial,,6,Unión (Santa Fe),Tigre,1,1,False,,
15/9/2012,2012-2013 Inicial,,7,All Boys,Argentinos Juniors,0,1,False,,
15/9/2012,2012-2013 Inicial,,7,Godoy Cruz Antonio Tomba,San Martín (San Juan),1,0,False,,
15/9/2012,2012-2013 Inicial,,7,Racing,Estudiantes (La Plata),0,1,False,,
15/9/2012,2012-2013 Inicial,,7,Tigre,Colón (Santa Fe),2,2,False,,
16/9/2012,2012-2013 Inicial,,7,Arsenal,Belgrano (Córdoba),0,2,False,,
16/9/2012,2012-2013 Inicial,,7,Boca Juniors,Independiente,2,1,False,,
16/9/2012,2012-2013 Inicial,,7,Newell's Old Boys,San Lorenzo de Almagro,1,0,False,,
16/9/2012,2012-2013 Inicial,,7,Vélez Sarsfield,River Plate,2,0,False,,
17/9/2012,2012-2013 Inicial,,7,Quilmes,Lanús,0,0,False,,
17/9/2012,2012-2013 Inicial,,7,Unión (Santa Fe),Atlético Rafaela,0,0,False,,
21/9/2012,2012-2013 Inicial,,8,Atlético Rafaela,Tigre,3,0,False,,
21/9/2012,2012-2013 Inicial,,8,Belgrano (Córdoba),Godoy Cruz Antonio Tomba,1,0,False,,
22/9/2012,2012-2013 Inicial,,8,Argentinos Juniors,Unión (Santa Fe),3,3,False,,
22/9/2012,2012-2013 Inicial,,8,Independiente,All Boys,1,1,False,,
