date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
7/2/2014,2013-2014 Final,,1,Estudiantes (La Plata),Arsenal,1,0,False,,
7/2/2014,2013-2014 Final,,1,Olimpo (Bahía Blanca),San Lorenzo de Almagro,2,0,False,,
7/2/2014,2013-2014 Final,,1,Vélez Sarsfield,Tigre,0,0,False,,
8/2/2014,2013-2014 Final,,1,Argentinos Juniors,Godoy Cruz Antonio Tomba,2,1,False,,
8/2/2014,2013-2014 Final,,1,Atlético Rafaela,All Boys,1,1,False,,
8/2/2014,2013-2014 Final,,1,Racing,Colón (Santa Fe),3,0,False,,
9/2/2014,2013-2014 Final,,1,Newell's Old Boys,Boca Juniors,0,0,False,,
9/2/2014,2013-2014 Final,,1,Quilmes,Rosario Central,0,1,False,,
9/2/2014,2013-2014 Final,,1,River Plate,Gimnasia y Esgrima (LP),1,0,False,,
10/2/2014,2013-2014 Final,,1,Belgrano (Córdoba),Lanús,2,2,False,,
14/2/2014,2013-2014 Final,,2,Godoy Cruz Antonio Tomba,Quilmes,2,0,False,,
15/2/2014,2013-2014 Final,,2,All Boys,Estudiantes (La Plata),0,1,False,,
15/2/2014,2013-2014 Final,,2,Arsenal,Vélez Sarsfield,1,3,False,,
15/2/2014,2013-2014 Final,,2,Colón (Santa Fe),Argentinos Juniors,1,0,False,,
15/2/2014,2013-2014 Final,,2,San Lorenzo de Almagro,Racing,1,0,False,,
15/2/2014,2013-2014 Final,,2,Tigre,Olimpo (Bahía Blanca),0,0,False,,
16/2/2014,2013-2014 Final,,2,Boca Juniors,Belgrano (Córdoba),2,3,False,,
16/2/2014,2013-2014 Final,,2,Gimnasia y Esgrima (LP),Newell's Old Boys,3,0,False,,
16/2/2014,2013-2014 Final,,2,Lanús,Atlético Rafaela,0,3,False,,
16/2/2014,2013-2014 Final,,2,Rosario Central,River Plate,1,1,False,,
18/2/2014,2013-2014 Final,,3,Olimpo (Bahía Blanca),Arsenal,0,2,False,,
18/2/2014,2013-2014 Final,,3,Racing,Tigre,0,1,False,,
18/2/2014,2013-2014 Final,,3,Vélez Sarsfield,All Boys,3,0,False,,
19/2/2014,2013-2014 Final,,3,Argentinos Juniors,San Lorenzo de Almagro,0,2,False,,
19/2/2014,2013-2014 Final,,3,Estudiantes (La Plata),Lanús,2,1,False,,
19/2/2014,2013-2014 Final,,3,Quilmes,Colón (Santa Fe),0,2,False,,
19/2/2014,2013-2014 Final,,3,River Plate,Godoy Cruz Antonio Tomba,1,2,False,,
20/2/2014,2013-2014 Final,,3,Atlético Rafaela,Boca Juniors,1,0,False,,
20/2/2014,2013-2014 Final,,3,Belgrano (Córdoba),Newell's Old Boys,1,1,False,,
20/2/2014,2013-2014 Final,,3,Rosario Central,Gimnasia y Esgrima (LP),3,1,False,,
22/2/2014,2013-2014 Final,,4,All Boys,Olimpo (Bahía Blanca),1,0,False,,
22/2/2014,2013-2014 Final,,4,Arsenal,Racing,3,1,False,,
22/2/2014,2013-2014 Final,,4,Lanús,Vélez Sarsfield,3,2,False,,
23/2/2014,2013-2014 Final,,4,Boca Juniors,Estudiantes (La Plata),1,0,False,,
23/2/2014,2013-2014 Final,,4,Colón (Santa Fe),River Plate,3,1,False,,
23/2/2014,2013-2014 Final,,4,Newell's Old Boys,Atlético Rafaela,4,1,False,,
23/2/2014,2013-2014 Final,,4,San Lorenzo de Almagro,Quilmes,1,0,False,,
24/2/2014,2013-2014 Final,,4,Gimnasia y Esgrima (LP),Belgrano (Córdoba),2,2,False,,
24/2/2014,2013-2014 Final,,4,Godoy Cruz Antonio Tomba,Rosario Central,3,0,False,,
24/2/2014,2013-2014 Final,,4,Tigre,Argentinos Juniors,0,0,False,,
28/2/2014,2013-2014 Final,,5,Godoy Cruz Antonio Tomba,Gimnasia y Esgrima (LP),0,2,False,,
28/2/2014,2013-2014 Final,,5,Racing,All Boys,1,1,False,,
1/3/2014,2013-2014 Final,,5,Argentinos Juniors,Arsenal,2,0,False,,
1/3/2014,2013-2014 Final,,5,Atlético Rafaela,Belgrano (Córdoba),1,2,False,,
1/3/2014,2013-2014 Final,,5,Rosario Central,Colón (Santa Fe),0,1,False,,
1/3/2014,2013-2014 Final,,5,Vélez Sarsfield,Boca Juniors,1,0,False,,
2/3/2014,2013-2014 Final,,5,Estudiantes (La Plata),Newell's Old Boys,0,0,False,,
2/3/2014,2013-2014 Final,,5,Olimpo (Bahía Blanca),Lanús,2,0,False,,
2/3/2014,2013-2014 Final,,5,Quilmes,Tigre,1,0,False,,
2/3/2014,2013-2014 Final,,5,River Plate,San Lorenzo de Almagro,1,0,False,,
4/3/2014,2013-2014 Final,,6,All Boys,Argentinos Juniors,0,0,False,,
4/3/2014,2013-2014 Final,,6,Colón (Santa Fe),Godoy Cruz Antonio Tomba,1,1,False,,
4/3/2014,2013-2014 Final,,6,Gimnasia y Esgrima (LP),Atlético Rafaela,1,1,False,,
5/3/2014,2013-2014 Final,,6,Belgrano (Córdoba),Estudiantes (La Plata),1,1,False,,
5/3/2014,2013-2014 Final,,6,Boca Juniors,Olimpo (Bahía Blanca),2,0,False,,
5/3/2014,2013-2014 Final,,6,Lanús,Racing,1,0,False,,
5/3/2014,2013-2014 Final,,6,Newell's Old Boys,Vélez Sarsfield,4,1,False,,
6/3/2014,2013-2014 Final,,6,Arsenal,Quilmes,0,2,False,,
6/3/2014,2013-2014 Final,,6,San Lorenzo de Almagro,Rosario Central,2,1,False,,
6/3/2014,2013-2014 Final,,6,Tigre,River Plate,0,0,False,,
8/3/2014,2013-2014 Final,,7,Argentinos Juniors,Lanús,0,2,False,,
8/3/2014,2013-2014 Final,,7,Colón (Santa Fe),Gimnasia y Esgrima (LP),0,0,False,,
8/3/2014,2013-2014 Final,,7,Estudiantes (La Plata),Atlético Rafaela,0,0,False,,
8/3/2014,2013-2014 Final,,7,Vélez Sarsfield,Belgrano (Córdoba),3,1,False,,
9/3/2014,2013-2014 Final,,7,Godoy Cruz Antonio Tomba,San Lorenzo de Almagro,1,1,False,,
9/3/2014,2013-2014 Final,,7,Olimpo (Bahía Blanca),Newell's Old Boys,1,0,False,,
9/3/2014,2013-2014 Final,,7,Racing,Boca Juniors,1,2,False,,
9/3/2014,2013-2014 Final,,7,River Plate,Arsenal,1,0,False,,
10/3/2014,2013-2014 Final,,7,Quilmes,All Boys,1,2,False,,
10/3/2014,2013-2014 Final,,7,Rosario Central,Tigre,1,1,False,,
14/3/2014,2013-2014 Final,,8,Atlético Rafaela,Vélez Sarsfield,3,1,False,,
15/3/2014,2013-2014 Final,,8,Belgrano (Córdoba),Olimpo (Bahía Blanca),1,1,False,,
15/3/2014,2013-2014 Final,,8,San Lorenzo de Almagro,Colón (Santa Fe),0,0,False,,
15/3/2014,2013-2014 Final,,8,Tigre,Godoy Cruz Antonio Tomba,0,0,False,,
16/3/2014,2013-2014 Final,,8,All Boys,River Plate,3,2,False,,
16/3/2014,2013-2014 Final,,8,Arsenal,Rosario Central,1,1,False,,
16/3/2014,2013-2014 Final,,8,Boca Juniors,Argentinos Juniors,1,1,False,,
16/3/2014,2013-2014 Final,,8,Gimnasia y Esgrima (LP),Estudiantes (La Plata),0,1,False,,
16/3/2014,2013-2014 Final,,8,Newell's Old Boys,Racing,2,0,False,,
17/3/2014,2013-2014 Final,,8,Lanús,Quilmes,1,0,False,,
21/3/2014,2013-2014 Final,,9,Colón (Santa Fe),Tigre,1,0,False,,
21/3/2014,2013-2014 Final,,9,Olimpo (Bahía Blanca),Atlético Rafaela,2,1,False,,
22/3/2014,2013-2014 Final,,9,Argentinos Juniors,Newell's Old Boys,0,0,False,,
22/3/2014,2013-2014 Final,,9,Racing,Belgrano (Córdoba),2,0,False,,
22/3/2014,2013-2014 Final,,9,Rosario Central,All Boys,2,0,False,,
22/3/2014,2013-2014 Final,,9,Vélez Sarsfield,Estudiantes (La Plata),1,1,False,,
23/3/2014,2013-2014 Final,,9,Gimnasia y Esgrima (LP),San Lorenzo de Almagro,2,1,False,,
23/3/2014,2013-2014 Final,,9,Godoy Cruz Antonio Tomba,Arsenal,2,1,False,,
23/3/2014,2013-2014 Final,,9,Quilmes,Boca Juniors,0,0,False,,
23/3/2014,2013-2014 Final,,9,River Plate,Lanús,2,0,False,,
28/3/2014,2013-2014 Final,,10,All Boys,Godoy Cruz Antonio Tomba,0,0,False,,
28/3/2014,2013-2014 Final,,10,Belgrano (Córdoba),Argentinos Juniors,0,0,False,,
28/3/2014,2013-2014 Final,,10,Estudiantes (La Plata),Olimpo (Bahía Blanca),0,0,False,,
29/3/2014,2013-2014 Final,,10,Atlético Rafaela,Racing,2,2,False,,
