date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
08/08/2014,Torneo de Transición,,1,Godoy Cruz Antonio Tomba,Banfield,3,0,,,
08/08/2014,Torneo de Transición,,1,Rosario Central,Quilmes,3,1,,,
09/08/2014,Torneo de Transición,,1,Defensa y Justicia,Racing,1,3,,,
10/08/2014,Torneo de Transición,,1,Independiente,Atlético Rafaela,3,0,,,
10/08/2014,Torneo de Transición,,1,Boca Juniors,Newell's Old Boys,0,1,,,
10/08/2014,Torneo de Transición,,1,Gimnasia y Esgrima (LP),River Plate,1,1,,,
11/08/2014,Torneo de Transición,,1,Arsenal,Estudiantes (La Plata),2,1,,,
11/08/2014,Torneo de Transición,,1,Tigre,Vélez Sarsfield,0,1,,,
13/08/2014,Torneo de Transición,,1,Lanús,Belgrano (Córdoba),1,0,,,
15/08/2014,Torneo de Transición,,2,Newell's Old Boys,Gimnasia y Esgrima (LP),1,1,,,
16/08/2014,Torneo de Transición,,2,Olimpo (Bahía Blanca),Tigre,2,1,,,
16/08/2014,Torneo de Transición,,2,Banfield,Defensa y Justicia,2,3,,,
16/08/2014,Torneo de Transición,,2,Vélez Sarsfield,Arsenal,2,1,,,
16/08/2014,Torneo de Transición,,2,Estudiantes (La Plata),Independiente,1,0,,,
17/08/2014,Torneo de Transición,,2,Racing,San Lorenzo de Almagro,2,0,,,
17/08/2014,Torneo de Transición,,2,River Plate,Rosario Central,2,0,,,
17/08/2014,Torneo de Transición,,2,Belgrano (Córdoba),Boca Juniors,0,1,,,
18/08/2014,Torneo de Transición,,2,Quilmes,Godoy Cruz Antonio Tomba,2,2,,,
18/08/2014,Torneo de Transición,,2,Atlético Rafaela,Lanús,2,1,,,
22/08/2014,Torneo de Transición,,3,Arsenal,Olimpo (Bahía Blanca),1,0,,,
22/08/2014,Torneo de Transición,,3,Tigre,Racing,4,0,,,
23/08/2014,Torneo de Transición,,3,Gimnasia y Esgrima (LP),Rosario Central,1,2,,,
23/08/2014,Torneo de Transición,,3,Newell's Old Boys,Belgrano (Córdoba),3,3,,,
23/08/2014,Torneo de Transición,,3,Independiente,Vélez Sarsfield,0,4,,,
24/08/2014,Torneo de Transición,,3,San Lorenzo de Almagro,Banfield,0,2,,,
24/08/2014,Torneo de Transición,,3,Lanús,Estudiantes (La Plata),2,1,,,
24/08/2014,Torneo de Transición,,3,Defensa y Justicia,Quilmes,1,1,,,
24/08/2014,Torneo de Transición,,3,Boca Juniors,Atlético Rafaela,0,3,,,
24/08/2014,Torneo de Transición,,3,Godoy Cruz Antonio Tomba,River Plate,0,4,,,
26/08/2014,Torneo de Transición,,4,Belgrano (Córdoba),Gimnasia y Esgrima (LP),0,0,,,
26/08/2014,Torneo de Transición,,4,Olimpo (Bahía Blanca),Independiente,1,2,,,
26/08/2014,Torneo de Transición,,4,Racing,Arsenal,1,0,,,
27/08/2014,Torneo de Transición,,4,Rosario Central,Godoy Cruz Antonio Tomba,0,1,,,
27/08/2014,Torneo de Transición,,4,Atlético Rafaela,Newell's Old Boys,2,3,,,
27/08/2014,Torneo de Transición,,4,River Plate,Defensa y Justicia,3,0,,,
27/08/2014,Torneo de Transición,,4,Estudiantes (La Plata),Boca Juniors,3,1,,,
28/08/2014,Torneo de Transición,,4,Banfield,Tigre,1,0,,,
28/08/2014,Torneo de Transición,,4,Vélez Sarsfield,Lanús,1,0,,,
28/08/2014,Torneo de Transición,,4,Quilmes,San Lorenzo de Almagro,0,3,,,
30/08/2014,Torneo de Transición,,5,Gimnasia y Esgrima (LP),Godoy Cruz Antonio Tomba,2,0,,,
30/08/2014,Torneo de Transición,,5,Defensa y Justicia,Rosario Central,1,3,,,
30/08/2014,Torneo de Transición,,5,Newell's Old Boys,Estudiantes (La Plata),1,0,,,
31/08/2014,Torneo de Transición,,5,Belgrano (Córdoba),Atlético Rafaela,3,0,,,
31/08/2014,Torneo de Transición,,5,Independiente,Racing,2,1,,,
31/08/2014,Torneo de Transición,,5,Boca Juniors,Vélez Sarsfield,3,1,,,
31/08/2014,Torneo de Transición,,5,San Lorenzo de Almagro,River Plate,1,3,,,
01/09/2014,Torneo de Transición,,5,Lanús,Olimpo (Bahía Blanca),1,1,,,
01/09/2014,Torneo de Transición,,5,Arsenal,Banfield,1,0,,,
01/09/2014,Torneo de Transición,,5,Tigre,Quilmes,0,0,,,
06/09/2014,Torneo de Transición,,6,Atlético Rafaela,Gimnasia y Esgrima (LP),2,0,,,
06/09/2014,Torneo de Transición,,6,Vélez Sarsfield,Newell's Old Boys,0,0,,,
06/09/2014,Torneo de Transición,,6,Estudiantes (La Plata),Belgrano (Córdoba),3,1,,,
06/09/2014,Torneo de Transición,,6,Banfield,Independiente,0,1,,,
07/09/2014,Torneo de Transición,,6,Rosario Central,San Lorenzo de Almagro,1,1,,,
