date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
13/02/2015,Primera División,,1,Vélez Sarsfield,Aldosivi,2,0,,,
13/02/2015,Primera División,,1,Racing,Rosario Central,0,1,,,
14/02/2015,Primera División,,1,San Lorenzo de Almagro,Colón (Santa Fe),2,0,,,
14/02/2015,Primera División,,1,Gimnasia y Esgrima (LP),Defensa y Justicia,0,1,,,
14/02/2015,Primera División,,1,Godoy Cruz Antonio Tomba,San Martín (San Juan),1,1,,,
14/02/2015,Primera División,,1,Newell's Old Boys,Independiente,2,3,,,
14/02/2015,Primera División,,1,Banfield,Temperley,0,1,,,
14/02/2015,Primera División,,1,Crucero del Norte,Tigre,0,0,,,
15/02/2015,Primera División,,1,Quilmes,Lanús,0,1,,,
15/02/2015,Primera División,,1,Unión (Santa Fe),Huracán,1,0,,,
15/02/2015,Primera División,,1,Boca Juniors,Olimpo (Bahía Blanca),3,1,,,
15/02/2015,Primera División,,1,Argentinos Juniors,Atlético Rafaela,2,0,,,
15/02/2015,Primera División,,1,Sarmiento (Junín),River Plate,1,4,,,
16/02/2015,Primera División,,1,Arsenal,Estudiantes (La Plata),0,1,,,
16/02/2015,Primera División,,1,Belgrano (Córdoba),Nueva Chicago,3,1,,,
20/02/2015,Primera División,,2,Atlético Rafaela,Banfield,1,4,,,
21/02/2015,Primera División,,2,Huracán,Arsenal,1,0,,,
21/02/2015,Primera División,,2,Estudiantes (La Plata),Godoy Cruz Antonio Tomba,2,1,,,
21/02/2015,Primera División,,2,Rosario Central,Tigre,2,1,,,
21/02/2015,Primera División,,2,Olimpo (Bahía Blanca),Racing,0,0,,,
21/02/2015,Primera División,,2,Vélez Sarsfield,Crucero del Norte,2,1,,,
21/02/2015,Primera División,,2,San Martín (San Juan),Gimnasia y Esgrima (LP),1,1,,,
22/02/2015,Primera División,,2,Aldosivi,Newell's Old Boys,0,1,,,
22/02/2015,Primera División,,2,Independiente,Sarmiento (Junín),1,1,,,
22/02/2015,Primera División,,2,Nueva Chicago,Unión (Santa Fe),2,2,,,
22/02/2015,Primera División,,2,River Plate,Quilmes,2,2,,,
22/02/2015,Primera División,,2,Colón (Santa Fe),Argentinos Juniors,1,1,,,
22/02/2015,Primera División,,2,Temperley,Boca Juniors,0,2,,,
23/02/2015,Primera División,,2,Lanús,Belgrano (Córdoba),0,0,,,
23/02/2015,Primera División,,2,Defensa y Justicia,San Lorenzo de Almagro,1,2,,,
27/02/2015,Primera División,,3,Arsenal,Nueva Chicago,1,1,,,
27/02/2015,Primera División,,3,Godoy Cruz Antonio Tomba,Huracán,2,1,,,
28/02/2015,Primera División,,3,Tigre,Olimpo (Bahía Blanca),1,0,,,
28/02/2015,Primera División,,3,Crucero del Norte,Rosario Central,0,1,,,
28/02/2015,Primera División,,3,Unión (Santa Fe),Lanús,1,1,,,
