date,tournament,group,round,home,away,home goals,away goals,extra time,pk home,pk away
26/08/2016,Primera División,,1,Sarmiento (Junín),Arsenal,1,0,,,
26/08/2016,Primera División,,1,Godoy Cruz Antonio Tomba,Huracán,1,0,,,
27/08/2016,Primera División,,1,Gimnasia y Esgrima (LP),Vélez Sarsfield,2,0,,,
27/08/2016,Primera División,,1,Rosario Central,Defensa y Justicia,0,0,,,
27/08/2016,Primera División,,1,Racing,Talleres (Córdoba),1,1,,,
27/08/2016,Primera División,,1,Atlético Tucumán,Atlético Rafaela,1,0,,,
27/08/2016,Primera División,,1,San Lorenzo de Almagro,San Martín (San Juan),2,2,,,
28/08/2016,Primera División,,1,Tigre,Estudiantes (La Plata),0,3,,,
28/08/2016,Primera División,,1,Quilmes,Newell's Old Boys,0,1,,,
28/08/2016,Primera División,,1,Belgrano (Córdoba),Independiente,0,1,,,
28/08/2016,Primera División,,1,Unión (Santa Fe),Olimpo (Bahía Blanca),1,0,,,
28/08/2016,Primera División,,1,River Plate,Banfield,4,1,,,
28/08/2016,Primera División,,1,Lanús,Boca Juniors,1,0,,,
29/08/2016,Primera División,,1,Aldosivi,Colón (Santa Fe),0,2,,,
29/08/2016,Primera División,,1,Temperley,Patronato (Paraná),1,0,,,
09/09/2016,Primera División,,2,Patronato (Paraná),Gimnasia y Esgrima (LP),0,1,,,
09/09/2016,Primera División,,2,Huracán,Quilmes,1,1,,,
10/09/2016,Primera División,,2,Olimpo (Bahía Blanca),Lanús,0,0,,,
10/09/2016,Primera División,,2,Banfield,Colón (Santa Fe),0,0,,,
10/09/2016,Primera División,,2,San Martín (San Juan),Racing,0,2,,,
10/09/2016,Primera División,,2,Unión (Santa Fe),Aldosivi,0,0,,,
10/09/2016,Primera División,,2,Defensa y Justicia,San Lorenzo de Almagro,0,2,,,
10/09/2016,Primera División,,2,Independiente,Godoy Cruz Antonio Tomba,2,0,,,
11/09/2016,Primera División,,2,Newell's Old Boys,Tigre,1,0,,,
11/09/2016,Primera División,,2,Vélez Sarsfield,Rosario Central,2,0,,,
11/09/2016,Primera División,,2,Estudiantes (La Plata),Sarmiento (Junín),1,0,,,
11/09/2016,Primera División,,2,Boca Juniors,Belgrano (Córdoba),3,0,,,
11/09/2016,Primera División,,2,Talleres (Córdoba),River Plate,0,1,,,
12/09/2016,Primera División,,2,Arsenal,Atlético Tucumán,1,3,,,
12/09/2016,Primera División,,2,Atlético Rafaela,Temperley,1,0,,,
16/09/2016,Primera División,,3,Colón (Santa Fe),Talleres (Córdoba),1,0,,,
17/09/2016,Primera División,,3,Lanús,Unión (Santa Fe),0,1,,,
17/09/2016,Primera División,,3,San Lorenzo de Almagro,Vélez Sarsfield,2,1,,,
17/09/2016,Primera División,,3,Rosario Central,Patronato (Paraná),2,1,,,
17/09/2016,Primera División,,3,Aldosivi,Banfield,1,3,,,
17/09/2016,Primera División,,3,Quilmes,Independiente,1,1,,,
17/09/2016,Primera División,,3,Sarmiento (Junín),Newell's Old Boys,1,1,,,
18/09/2016,Primera División,,3,Atlético Tucumán,Estudiantes (La Plata),0,2,,,
18/09/2016,Primera División,,3,Temperley,Arsenal,1,1,,,
18/09/2016,Primera División,,3,Belgrano (Córdoba),Olimpo (Bahía Blanca),0,0,,,
18/09/2016,Primera División,,3,Godoy Cruz Antonio Tomba,Boca Juniors,1,1,,,
18/09/2016,Primera División,,3,River Plate,San Martín (San Juan),1,1,,,
18/09/2016,Primera División,,3,Racing,Defensa y Justicia,1,1,,,
19/09/2016,Primera División,,3,Tigre,Huracán,1,1,,,
19/09/2016,Primera División,,3,Gimnasia y Esgrima (LP),Atlético Rafaela,0,1,,,
23/09/2016,Primera División,,4,Olimpo (Bahía Blanca),Godoy Cruz Antonio Tomba,3,0,,,
24/09/2016,Primera División,,4,Newell's Old Boys,Atlético Tucumán,3,1,,,
24/09/2016,Primera División,,4,Atlético Rafaela,Rosario Central,0,0,,,
24/09/2016,Primera División,,4,Vélez Sarsfield,Racing,0,3,,,
24/09/2016,Primera División,,4,Independiente,Tigre,1,1,,,
24/09/2016,Primera División,,4,Huracán,Sarmiento (Junín),0,0,,,
25/09/2016,Primera División,,4,Estudiantes (La Plata),Temperley,3,0,,,
25/09/2016,Primera División,,4,Unión (Santa Fe),Belgrano (Córdoba),0,2,,,
25/09/2016,Primera División,,4,Talleres (Córdoba),Banfield,0,0,,,
25/09/2016,Primera División,,4,Patronato (Paraná),San Lorenzo de Almagro,1,1,,,
25/09/2016,Primera División,,4,Boca Juniors,Quilmes,4,1,,,
25/09/2016,Primera División,,4,Lanús,Aldosivi,0,0,,,
25/09/2016,Primera División,,4,Defensa y Justicia,River Plate,3,3,,,
26/09/2016,Primera División,,4,Arsenal,Gimnasia y Esgrima (LP),2,2,,,
26/09/2016,Primera División,,4,San Martín (San Juan),Colón (Santa Fe),0,0,,,
30/09/2016,Primera División,,5,Quilmes,Olimpo (Bahía Blanca),2,1,,,
30/09/2016,Primera División,,5,Godoy Cruz Antonio Tomba,Unión (Santa Fe),2,1,,,
01/10/2016,Primera División,,5,Rosario Central,Arsenal,5,0,,,
01/10/2016,Primera División,,5,Aldosivi,Talleres (Córdoba),2,1,,,
01/10/2016,Primera División,,5,Temperley,Newell's Old Boys,0,0,,,
01/10/2016,Primera División,,5,Racing,Patronato (Paraná),2,0,,,
01/10/2016,Primera División,,5,River Plate,Vélez Sarsfield,3,0,,,
02/10/2016,Primera División,,5,San Lorenzo de Almagro,Atlético Rafaela,2,1,,,
02/10/2016,Primera División,,5,Belgrano (Córdoba),Lanús,1,1,,,
02/10/2016,Primera División,,5,Gimnasia y Esgrima (LP),Estudiantes (La Plata),0,0,,,
02/10/2016,Primera División,,5,Banfield,San Martín (San Juan),3,2,,,
02/10/2016,Primera División,,5,Sarmiento (Junín),Independiente,0,1,,,
02/10/2016,Primera División,,5,Colón (Santa Fe),Defensa y Justicia,1,0,,,
02/10/2016,Primera División,,5,Tigre,Boca Juniors,1,1,,,
03/10/2016,Primera División,,5,Atlético Tucumán,Huracán,0,2,,,
14/10/2016,Primera División,,6,Defensa y Justicia,Banfield,1,0,,,
14/10/2016,Primera División,,6,Belgrano (Córdoba),Aldosivi,0,0,,,
15/10/2016,Primera División,,6,Vélez Sarsfield,Colón (Santa Fe),2,1,,,
15/10/2016,Primera División,,6,Atlético Rafaela,Racing,3,2,,,
15/10/2016,Primera División,,6,Huracán,Temperley,1,2,,,
15/10/2016,Primera División,,6,Estudiantes (La Plata),Rosario Central,3,2,,,
15/10/2016,Primera División,,6,San Martín (San Juan),Talleres (Córdoba),1,3,,,
15/10/2016,Primera División,,6,Independiente,Atlético Tucumán,0,2,,,
16/10/2016,Primera División,,6,Lanús,Godoy Cruz Antonio Tomba,3,0,,,
16/10/2016,Primera División,,6,Olimpo (Bahía Blanca),Tigre,1,4,,,
16/10/2016,Primera División,,6,Boca Juniors,Sarmiento (Junín),2,0,,,
16/10/2016,Primera División,,6,Newell's Old Boys,Gimnasia y Esgrima (LP),1,0,,,
16/10/2016,Primera División,,6,Arsenal,San Lorenzo de Almagro,1,3,,,
16/10/2016,Primera División,,6,Patronato (Paraná),River Plate,2,1,,,
17/10/2016,Primera División,,6,Unión (Santa Fe),Quilmes,1,1,,,
21/10/2016,Primera División,,7,Sarmiento (Junín),Olimpo (Bahía Blanca),1,1,,,
21/10/2016,Primera División,,7,Talleres (Córdoba),Defensa y Justicia,2,0,,,
22/10/2016,Primera División,,7,Quilmes,Lanús,1,0,,,
22/10/2016,Primera División,,7,Godoy Cruz Antonio Tomba,Belgrano (Córdoba),2,0,,,
22/10/2016,Primera División,,7,Temperley,Independiente,0,1,,,
22/10/2016,Primera División,,7,Colón (Santa Fe),Patronato (Paraná),0,1,,,
22/10/2016,Primera División,,7,Racing,Arsenal,1,0,,,
22/10/2016,Primera División,,7,River Plate,Atlético Rafaela,1,0,,,
23/10/2016,Primera División,,7,Gimnasia y Esgrima (LP),Huracán,1,0,,,
23/10/2016,Primera División,,7,Rosario Central,Newell's Old Boys,0,1,,,
23/10/2016,Primera División,,7,Tigre,Unión (Santa Fe),3,1,,,
23/10/2016,Primera División,,7,Banfield,Vélez Sarsfield,1,0,,,
23/10/2016,Primera División,,7,San Lorenzo de Almagro,Estudiantes (La Plata),1,2,,,
23/10/2016,Primera División,,7,Atlético Tucumán,Boca Juniors,2,2,,,
24/10/2016,Primera División,,7,Aldosivi,San Martín (San Juan),1,2,,,
28/10/2016,Primera División,,8,Olimpo (Bahía Blanca),Atlético Tucumán,2,1,,,
28/10/2016,Primera División,,8,Patronato (Paraná),Banfield,2,0,,,
29/10/2016,Primera División,,8,Vélez Sarsfield,Talleres (Córdoba),0,2,,,
29/10/2016,Primera División,,8,Belgrano (Córdoba),Quilmes,0,0,,,
29/10/2016,Primera División,,8,Boca Juniors,Temperley,4,0,,,
29/10/2016,Primera División,,8,Independiente,Gimnasia y Esgrima (LP),0,0,,,
29/10/2016,Primera División,,8,Huracán,Rosario Central,1,1,,,
29/10/2016,Primera División,,8,Estudiantes (La Plata),Racing,2,1,,,
30/10/2016,Primera División,,8,Lanús,Tigre,1,1,,,
30/10/2016,Primera División,,8,Godoy Cruz Antonio Tomba,Aldosivi,3,1,,,
30/10/2016,Primera División,,8,Newell's Old Boys,San Lorenzo de Almagro,2,2,,,
30/10/2016,Primera División,,8,Atlético Rafaela,Colón (Santa Fe),0,2,,,
30/10/2016,Primera División,,8,Arsenal,River Plate,2,2,,,
31/10/2016,Primera División,,8,Defensa y Justicia,San Martín (San Juan),0,0,,,
31/10/2016,Primera División,,8,Unión (Santa Fe),Sarmiento (Junín),1,0,,,
04/11/2016,Primera División,,9,Temperley,Olimpo (Bahía Blanca),0,0,,,
05/11/2016,Primera División,,9,Quilmes,Godoy Cruz Antonio Tomba,1,0,,,
05/11/2016,Primera División,,9,River Plate,Estudiantes (La Plata),1,1,,,
05/11/2016,Primera División,,9,Sarmiento (Junín),Lanús,1,2,,,
05/11/2016,Primera División,,9,Colón (Santa Fe),Arsenal,1,0,,,
05/11/2016,Primera División,,9,Racing,Newell's Old Boys,2,1,,,
05/11/2016,Primera División,,9,San Martín (San Juan),Vélez Sarsfield,2,0,,,
06/11/2016,Primera División,,9,Banfield,Atlético Rafaela,1,1,,,
06/11/2016,Primera División,,9,Tigre,Belgrano (Córdoba),2,1,,,
06/11/2016,Primera División,,9,San Lorenzo de Almagro,Huracán,2,0,,,
06/11/2016,Primera División,,9,Talleres (Córdoba),Patronato (Paraná),1,0,,,
06/11/2016,Primera División,,9,Rosario Central,Independiente,0,0,,,
06/11/2016,Primera División,,9,Gimnasia y Esgrima (LP),Boca Juniors,0,3,,,
07/11/2016,Primera División,,9,Aldosivi,Defensa y Justicia,0,0,,,
08/11/2016,Primera División,,9,Atlético Tucumán,Unión (Santa Fe),1,1,,,
13/11/2016,Primera División,,10,Vélez Sarsfield,Defensa y Justicia,2,1,,,
18/11/2016,Primera División,,10,Arsenal,Banfield,1,3,,,
19/11/2016,Primera División,,10,Estudiantes (La Plata),Colón (Santa Fe),1,0,,,
19/11/2016,Primera División,,10,Unión (Santa Fe),Temperley,2,1,,,
19/11/2016,Primera División,,10,Godoy Cruz Antonio Tomba,Tigre,2,1,,,
19/11/2016,Primera División,,10,Lanús,Atlético Tucumán,1,0,,,
19/11/2016,Primera División,,10,Huracán,Racing,1,1,,,
20/11/2016,Primera División,,10,Belgrano (Córdoba),Sarmiento (Junín),1,2,,,
20/11/2016,Primera División,,10,Independiente,San Lorenzo de Almagro,1,2,,,
20/11/2016,Primera División,,10,Quilmes,Aldosivi,1,0,,,
20/11/2016,Primera División,,10,Boca Juniors,Rosario Central,1,1,,,
20/11/2016,Primera División,,10,Atlético Rafaela,Talleres (Córdoba),0,1,,,
20/11/2016,Primera División,,10,Newell's Old Boys,River Plate,1,0,,,
21/11/2016,Primera División,,10,Olimpo (Bahía Blanca),Gimnasia y Esgrima (LP),0,0,,,
21/11/2016,Primera División,,10,Patronato (Paraná),San Martín (San Juan),3,0,,,
25/11/2016,Primera División,,11,Temperley,Lanús,1,3,,,
25/11/2016,Primera División,,11,Talleres (Córdoba),Arsenal,0,0,,,
26/11/2016,Primera División,,11,Tigre,Quilmes,3,0,,,
26/11/2016,Primera División,,11,Colón (Santa Fe),Newell's Old Boys,1,2,,,
26/11/2016,Primera División,,11,Banfield,Estudiantes (La Plata),3,2,,,
